Action,Shopify Product,Variant,SKU,Qty,Best Square Item,Score
ALIGN,AdaptoSquare,Regular,825073W,0,via SKU,1.0
ALIGN,Afghan Black Hash (79.12% THCA),10 Grams,afghan10,0,via SKU,1.0
ALIGN,Afghan Black Hash (79.12% THCA),25 Grams,afghan20,0,via SKU,1.0
ALIGN,Alice Mushroom Chocolates,Happy Ending,L451235,0,via SKU,1.0
ALIGN,Alice Mushroom Chocolates,Nightcap,3343013,0,via SKU,1.0
ALIGN,Alice Mushroom Chocolates,Brainstorm,956234Y,0,via SKU,1.0
ALIGN,Ambrosia Gold Carbon Fiber Crumble (89.03% THCA),2.5 Grams,V590767,0,via SKU,1.0
ALIGN,Ambrosia Gold Carbon Fiber Crumble (89.03% THCA),5 Grams,420113Q,0,via SKU,1.0
ALIGN,Ambrosia Gold Carbon Fiber Crumble (89.03% THCA),10 Grams,368819L,0,via SKU,1.0
ALIGN,Ambrosia Gold Carbon Fiber Crumble (89.03% THCA),25 Grams,144947F,0,via SKU,1.0
ALIGN,Ambrosia Gold Papaya Crumble (Hybrid - 86.24% THCA),2.5 Grams,agpap2.5,0,via SKU,1.0
ALIGN,Ambrosia Gold Papaya Crumble (Hybrid - 86.24% THCA),5 Grams,agpap5,0,via SKU,1.0
ALIGN,Ambrosia Gold Papaya Crumble (Hybrid - 86.24% THCA),10 Grams,agpap10,0,via SKU,1.0
ALIGN,Ambrosia Gold Papaya Crumble (Hybrid - 86.24% THCA),25 Grams,agpap25,0,via SKU,1.0
ALIGN,Ambrosia Gold Runtz Crumble (89.32% THCA),2.5 Grams,agruntz2.5,0,via SKU,1.0
ALIGN,Ambrosia Gold Runtz Crumble (89.32% THCA),5 Grams,agruntz5,0,via SKU,1.0
ALIGN,Ambrosia Gold Runtz Crumble (89.32% THCA),10 Grams,agruntz10,0,via SKU,1.0
ALIGN,Ambrosia Gold Runtz Crumble (89.32% THCA),25 Grams,agruntz25,0,via SKU,1.0
ALIGN,Animal Mintz (23.20% THCA Hybrid),3.5 Grams,615735K,0,via SKU,1.0
ALIGN,Animal Mintz (23.20% THCA Hybrid),7 Grams,845961R,0,via SKU,1.0
ALIGN,Animal Mintz (23.20% THCA Hybrid),14 Grams,434636J,0,via SKU,1.0
ALIGN,Animal Mintz (23.20% THCA Hybrid),28 Grams,6678167,0,via SKU,1.0
ALIGN,Apple Tart (Hybrid - 26.20% THCA),3.5 Grams,6059765,0,via SKU,1.0
ALIGN,Apple Tart (Hybrid - 26.20% THCA),7 Grams,3151853,0,via SKU,1.0
ALIGN,Apple Tart (Hybrid - 26.20% THCA),14 Grams,P170796,0,via SKU,1.0
ALIGN,Apple Tart (Hybrid - 26.20% THCA),28 Grams,J470466,0,via SKU,1.0
ALIGN,Baccio (24.64% THCA) Hybrid,3.5 Grams,1690360,0,via SKU,1.0
ALIGN,Baccio (24.64% THCA) Hybrid,7 Grams,4027149,0,via SKU,1.0
ALIGN,Baccio (24.64% THCA) Hybrid,14 Grams,327212A,0,via SKU,1.0
ALIGN,Baccio (24.64% THCA) Hybrid,28 Grams,814989D,0,via SKU,1.0
ALIGN,Benzina Tier 2 Rosin (Indica - 63.51% THCA),5 Grams,DSLR5,0,via SKU,1.0
ALIGN,big vase,Regular,206943T,0,via SKU,1.0
ALIGN,Biscotti Live Resin (Hybrid - 80.72% THCA),2.5 Grams,271439N,0,via SKU,1.0
ALIGN,Biscotti Live Resin (Hybrid - 80.72% THCA),5 Grams,H734809,0,via SKU,1.0
ALIGN,Biscotti Live Resin (Hybrid - 80.72% THCA),10 Grams,4624798,0,via SKU,1.0
ALIGN,Biscotti Live Resin (Hybrid - 80.72% THCA),25 Grams,J526812,0,via SKU,1.0
ALIGN,Blackberry Maple Tier 1 Live Rosin (Indica - 71.70% THCA),1 Gram,8470211,0,via SKU,1.0
ALIGN,Blackberry Maple Tier 1 Live Rosin (Indica - 71.70% THCA),5 Grams,G349053,0,via SKU,1.0
ALIGN,Blue Dream (Sativa - 25.70% THCA),3.5 Grams,244706Z,0,via SKU,1.0
ALIGN,Blue Dream (Sativa - 25.70% THCA),7 Grams,873064Z,0,via SKU,1.0
ALIGN,Blue Dream (Sativa - 25.70% THCA),14 Grams,D817834,0,via SKU,1.0
ALIGN,Blue Dream (Sativa - 25.70% THCA),28 Grams,E696289,0,via SKU,1.0
ALIGN,Blue Dream (Sativa - 32.77% THCA),3.5 Grams,1631394,0,via SKU,1.0
ALIGN,Blue Dream (Sativa - 32.77% THCA),7 Grams,101648Q,0,via SKU,1.0
ALIGN,Blue Dream (Sativa - 32.77% THCA),14 Grams,683645A,0,via SKU,1.0
ALIGN,Blue Dream (Sativa - 32.77% THCA),28 Grams,1281754,0,via SKU,1.0
ALIGN,Blue Zushi (24.06% THCA Hybrid),3.5 Grams,600855T,0,via SKU,1.0
ALIGN,Blue Zushi (24.06% THCA Hybrid),7 Grams,G084802,0,via SKU,1.0
ALIGN,Blue Zushi (24.06% THCA Hybrid),14 Grams,K277419,0,via SKU,1.0
ALIGN,Blue Zushi (24.06% THCA Hybrid),28 Grams,Z453271,0,via SKU,1.0
ALIGN,Blueberry Muffin (Indica - 28.90% THCA),3.5 Grams,H052028,0,via SKU,1.0
ALIGN,Blueberry Muffin (Indica - 28.90% THCA),7 Grams,V649743,0,via SKU,1.0
ALIGN,Blueberry Muffin (Indica - 28.90% THCA),14 Grams,B482555,0,via SKU,1.0
ALIGN,Blueberry Muffin (Indica - 28.90% THCA),28 Grams,597005H,0,via SKU,1.0
ALIGN,Blueberry Muffin (Indica- 28.90% THCA),3.5 Grams,6066199,0,via SKU,1.0
ALIGN,Blueberry Muffin (Indica- 28.90% THCA),7 Grams,S595547,0,via SKU,1.0
ALIGN,Blueberry Muffin (Indica- 28.90% THCA),14 Grams,Q891957,0,via SKU,1.0
ALIGN,Blueberry Muffin (Indica- 28.90% THCA),28 Grams,R117594,0,via SKU,1.0
ALIGN,Brez Dream Relaxing Tonic,Single Can,brez-dream-relaxing-tonic-single-can,0,via SKU,1.0
ALIGN,Brez Dream Relaxing Tonic,4-Pack,brez-dream-relaxing-tonic-4-pack,0,via SKU,1.0
ALIGN,Brez Dream Relaxing Tonic,12-Pack,brez-dream-relaxing-tonic-12-pack,0,via SKU,1.0
ALIGN,Brez Lemon ElderFlower Social Tonic,2.5mg THC - Single,brez-lemon-elderflower-social-tonic-2-5m,0,via SKU,1.0
